Sample_ID,Location,Region,Capture_date,collect_method,Escap_yr,Outmig_yr,collection_julian_day,capture_fork_length_juvs_mm,mean_exog,time_bin_use,NATLOC_new,WYlabel,life_stage,Phenotype,WYT,Natal_Exit_um,FWDist_um,Natal_exit_FL_mm,FW_exit_FL_mm
AR15-1654,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,413.7716,469.4732,62.66550326,71.89303031
AR15-1656,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,393.3457,450.0118,59.28174866,68.66905479
AR15-1657,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,243.9452,486.7965,36.27351101,74.76280819
AR15-1659,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,495.456,511.7589,76.19734096,78.89807937
AR15-1692,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Late,Intermediate,588.8949,588.8949,91.67642913,91.67642913
AR15-1700,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,438.626,475.8614,66.78288316,72.95129952
AR15-1704,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,411.5342,452.6545,62.29485557,69.10684447
AR15-1708,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,353.7757,426.3341,52.72658246,64.74660701
AR15-1710,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,490.7519,490.7519,75.41805975,75.41805975
AR15-1714,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,474.5137,525.0037,72.72803954,81.09221294
AR15-1717,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,475.7685,475.7685,72.93590971,72.93590971
AR15-1718,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,526.8283,526.8283,81.39447618,81.39447618
AR15-1719,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,530,530,81.9199,81.9199
AR15-1734,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,635.4285,635.4285,99.38518531,99.38518531
AR15-1737,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,241.0759,496.5673,36.21251256,76.38143892
AR15-1738,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,445.5323,465.8724,67.92698082,71.29652178
AR15-1740,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,403.7406,439.821,61.0037678,66.98084686
AR15-1745,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,549.5698,556.2261,85.16183307,86.26451573
AR15-175,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,240.4116,521.7045,36.1983902,80.54566747
AR15-1750,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,416.0281,463.7259,63.03931505,70.94093259
AR15-1753,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,427.4776,468.5753,64.93603922,71.7442842
AR15-1754,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,430.8544,463.7154,65.4954399,70.93919316
AR15-1755,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,547.6554,547.6554,84.84469356,84.84469356
AR15-1772,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,495.2763,508.2931,76.16757186,78.32393495
AR15-1774,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,521.5539,580.5491,80.52071907,90.29386391
AR15-1781,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,614.762,614.762,95.96157292,95.96157292
AR15-1789,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,518.0085,536.2028,79.93338811,82.94745585
