Sample_ID,Location,Region,Capture_date,collect_method,Escap_yr,Outmig_yr,collection_julian_day,capture_fork_length_juvs_mm,mean_exog,time_bin_use,NATLOC_new,WYlabel,life_stage,Phenotype,WYT,Natal_Exit_um,FWDist_um,Natal_exit_FL_mm,FW_exit_FL_mm
DM14001,Steamboat Slough,Within Delta,27/05/2014,sein,NA,2014,147,87,1,"(90,210]",AME,2014 (1),Juvenile,Early,Drought,228.1194,NA,35.93707032,NA
DM14009,Clarksburg,Within Delta,06/03/2014,sein,NA,2014,65,48,2,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,210.9264,NA,35.57156434,NA
DM14013,Clarksburg,Within Delta,12/03/2014,sein,NA,2014,71,47,1.5,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,196.1068,NA,35.25651446,NA
DM14015,Clarksburg,Within Delta,12/03/2014,sein,NA,2014,71,37,1.666666667,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,232.3635,NA,36.02729565,NA
DM14068,Rio Vista,Within Delta,11/03/2014,sein,NA,2014,70,36,1.5,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,178.745,NA,34.88741996,NA
DM14074,Rio Vista,Within Delta,11/03/2014,sein,NA,2014,70,59,1,"(-30,90]",AME,2014 (1),Juvenile,Late,Drought,330.3523,NA,48.84626202,NA
DM14084,Isleton,Within Delta,29/04/2014,sein,NA,2014,119,66,2,"(90,210]",AME,2014 (1),Juvenile,Early,Drought,188.8714,NA,35.10269709,NA
DM14093,Eddo’s,Within Delta,01/04/2014,sein,NA,2014,91,58,1.666666667,"(90,210]",AME,2014 (1),Juvenile,Early,Drought,212.3101,NA,35.60098042,NA
DM14097,Eddo’s,Within Delta,01/04/2014,sein,NA,2014,91,56,2,"(90,210]",AME,2014 (1),Juvenile,Early,Drought,216.1068,NA,35.68169446,NA
DM14121,Sherman Island,Within Delta,25/03/2014,sein,NA,2014,84,43,1.666666667,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,228.7291,NA,35.95003194,NA
DM14125,Eddo’s,Within Delta,25/03/2014,sein,NA,2014,84,45,1.166666667,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,174.4761,NA,34.79666741,NA
DM14131,Antioch Dunes,Within Delta,20/03/2014,sein,NA,2014,79,38,2,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,208.8637,NA,35.5277134,NA
DM14132,Antioch Dunes,Within Delta,20/03/2014,sein,NA,2014,79,55,1,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,187.8966,NA,35.08197382,NA
DM14148,B&W Marina,Within Delta,20/03/2014,sein,NA,2014,79,61,2,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,221.1755,NA,35.78944995,NA
DM14150,Koket,Within Delta,22/04/2014,sein,NA,2014,112,73,2,"(90,210]",AME,2014 (1),Juvenile,Late,Drought,432.7419,NA,65.80812315,NA
DM14504,Chipps Island,Delta Exit,29/05/2014,mwtr,NA,2014,149,88,1.5,"(90,210]",AME,2014 (1),Juvenile,Late,Drought,521.625,NA,80.5324975,88
DM14507,Chipps Island,Delta Exit,25/04/2014,mwtr,NA,2014,115,71,2,"(90,210]",AME,2014 (1),Juvenile,Early,Drought,235.1223,NA,36.08594498,71
DM14528,Chipps Island,Delta Exit,09/04/2014,mwtr,NA,2014,99,74,1.5,"(90,210]",AME,2014 (1),Juvenile,Early,Drought,309.0081,NA,45.31038185,74
DM14531,Chipps Island,Delta Exit,09/04/2014,mwtr,NA,2014,99,74,2,"(90,210]",AME,2014 (1),Juvenile,Late,Drought,348.6154,NA,51.87172716,74
DM14543,Chipps Island,Delta Exit,11/04/2014,mwtr,NA,2014,101,71,2,"(90,210]",AME,2014 (1),Juvenile,Late,Drought,397.0299,NA,59.89207323,71
DM14619,Chipps Island,Delta Exit,16/04/2014,mwtr,NA,2014,106,74,2,"(90,210]",AME,2014 (1),Juvenile,Late,Drought,411.7286,NA,62.32705988,74
DM14627,Chipps Island,Delta Exit,21/04/2014,mwtr,NA,2014,111,76,2,"(90,210]",AME,2014 (1),Juvenile,Late,Drought,457.3,NA,69.876418,76
DM15001,Sherwood Harbor,Delta entry,13/05/2015,kdtr,NA,2015,133,80,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,405.762,NA,61.33863292,NA
DM15002,Sherwood Harbor,Delta entry,13/05/2015,kdtr,NA,2015,133,78,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,427.065,NA,64.8676879,NA
DM15004,Sherwood Harbor,Delta entry,06/04/2015,kdtr,NA,2015,96,69,1.833333333,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,368.229,NA,55.12091614,NA
DM15007,Sherwood Harbor,Delta entry,10/04/2015,kdtr,NA,2015,100,66,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,511.77,NA,78.8999182,NA
DM15009,Sherwood Harbor,Delta entry,10/04/2015,kdtr,NA,2015,100,74,2,"(90,210]",AME,2015 (1.1),Juvenile,Early,Drought,238.5627,NA,36.15908444,NA
DM15010,Sherwood Harbor,Delta entry,17/04/2015,kdtr,NA,2015,107,71,1.333333333,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,397.647,NA,59.99430202,NA
DM15014,Sherwood Harbor,Delta entry,27/02/2015,kdtr,NA,2015,58,34,2,"(-30,90]",AME,2015 (1.1),Juvenile,Early,Drought,215.054,NA,35.65931299,NA
DM15016,Sherwood Harbor,Delta entry,18/02/2015,kdtr,NA,2015,49,36,2,"(-30,90]",AME,2015 (1.1),Juvenile,Early,Drought,211.334,NA,35.58022951,NA
DM15017,Sherwood Harbor,Delta entry,24/04/2015,kdtr,NA,2015,114,79,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,433.151,NA,65.87589466,NA
DM15019,Sherwood Harbor,Delta entry,20/04/2015,kdtr,NA,2015,110,69,1.333333333,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,409.82,NA,62.0108812,NA
DM15020,Sherwood Harbor,Delta entry,11/05/2015,kdtr,NA,2015,131,86,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,479.138,NA,73.49410108,NA
DM15022,Sherwood Harbor,Delta entry,13/04/2015,kdtr,NA,2015,103,69,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,392.237,NA,59.09808142,NA
DM15023,Sherwood Harbor,Delta entry,13/04/2015,kdtr,NA,2015,103,77,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,398.323,NA,60.10628818,NA
DM15028,Sherwood Harbor,Delta entry,03/04/2015,kdtr,NA,2015,93,70,1.5,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,402.1372,NA,60.73814855,NA
DM15036,Sherwood Harbor,Delta entry,29/04/2015,kdtr,NA,2015,119,73,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,478.461,NA,73.38194926,NA
DM15054,Clarksburg,Within Delta,14/04/2015,sein,NA,2015,104,75,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,411.7042,NA,62.32301777,NA
DM15079,Rio Vista,Within Delta,20/03/2015,sein,NA,2015,79,53,2,"(-30,90]",AME,2015 (1.1),Juvenile,Early,Drought,198.4006,NA,35.30527836,NA
DM15098,Koket,Within Delta,14/04/2015,sein,NA,2015,104,78,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,387.4505,NA,58.30514983,NA
DM15101,Koket,Within Delta,09/04/2015,sein,NA,2015,99,75,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,394.4136,NA,59.45865698,NA
DM15102,Koket,Within Delta,06/03/2015,sein,NA,2015,65,36,2,"(-30,90]",AME,2015 (1.1),Juvenile,Early,Drought,223.8756,NA,35.84685138,NA
DM15105,Wimpy’s,Within Delta,04/03/2015,sein,NA,2015,63,39,1.333333333,"(-30,90]",AME,2015 (1.1),Juvenile,Early,Drought,240.6445,NA,36.20334143,NA
DM15139,Chipps Island,Delta Exit,04/05/2015,mwtr,NA,2015,124,76,1.666666667,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,413.6,NA,62.637076,76
DM15170,Chipps Island,Delta Exit,07/05/2015,mwtr,NA,2015,127,76,1.666666667,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,443.295,NA,67.5563497,76
DM15179,Chipps Island,Delta Exit,21/05/2015,mwtr,NA,2015,141,89,1.5,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,568.405,NA,88.2820723,89
DM15180,Chipps Island,Delta Exit,20/05/2015,mwtr,NA,2015,140,89,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,543.721,NA,84.19292086,89
DM15190,Chipps Island,Delta Exit,15/04/2015,mwtr,NA,2015,105,79,1.166666667,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,517.347,NA,79.82380402,79
DM15276,Chipps Island,Delta Exit,18/02/2015,mwtr,NA,2015,49,39,1.5,"(-30,90]",AME,2015 (1.1),Juvenile,Early,Drought,220.66,NA,35.77849094,39
DM15290,Chipps Island,Delta Exit,20/04/2015,mwtr,NA,2015,110,81,2,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,384.2125,NA,57.76874275,81
DM15292,Chipps Island,Delta Exit,20/04/2015,mwtr,NA,2015,110,79,1.666666667,"(90,210]",AME,2015 (1.1),Juvenile,Late,Drought,474.862,NA,72.78573892,79
DM15344,Sandy Beach,Within Delta,29/12/2015,sein,NA,2016,-2,36,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,184.123,NA,35.00175086,NA
DM16004,Chipps Island,Delta Exit,27/04/2016,mwtr,NA,2016,118,67,1,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,201.0935,NA,35.36252672,67
DM16012,Garcia Bend,Within Delta,19/04/2016,sein,NA,2016,110,76,2,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,379.6521,NA,57.01326689,NA
DM16015,Steamboat Slough,Within Delta,03/03/2016,sein,NA,2016,63,35,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,227.565,NA,35.92528434,NA
DM16016,Clarksburg,Within Delta,11/03/2016,sein,NA,2016,71,45,1,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,223.882,NA,35.84698744,NA
DM16021,Garcia Bend,Within Delta,18/02/2016,sein,NA,2016,49,42,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,219.7493,NA,35.75913037,NA
DM16025,Sherwood Harbor,Delta entry,11/03/2016,kdtr,NA,2016,71,38,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,260.364,NA,37.25200024,NA
DM16030,Sherwood Harbor,Delta entry,28/03/2016,kdtr,NA,2016,88,37,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,229.815,NA,35.97311709,NA
DM16031,Sherwood Harbor,Delta entry,18/02/2016,kdtr,NA,2016,49,38,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,194.428,NA,35.22082485,NA
DM16032,Sherwood Harbor,Delta entry,21/03/2016,kdtr,NA,2016,81,37,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,198.485,NA,35.30707262,NA
DM16033,Sherwood Harbor,Delta entry,21/03/2016,kdtr,NA,2016,81,39,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,213.366,NA,35.62342779,NA
DM16035,Sherwood Harbor,Delta entry,02/03/2016,kdtr,NA,2016,62,36,1.833333333,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,226.1802,NA,35.89584487,NA
DM16036,Sherwood Harbor,Delta entry,21/03/2016,kdtr,NA,2016,81,41,1.333333333,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,251.234,NA,36.42846361,NA
DM16039,Garcia Bend,Within Delta,07/04/2016,sein,NA,2016,98,58,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,281.3623,NA,40.73057862,NA
DM16042,Sherwood Harbor,Delta entry,25/04/2016,kdtr,NA,2016,116,72,2,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,418.273,NA,63.41120518,NA
DM16043,Sherwood Harbor,Delta entry,12/02/2016,kdtr,NA,2016,43,39,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,220.464,NA,35.77432418,NA
DM16045,Garcia Bend,Within Delta,07/04/2016,sein,NA,2016,98,54,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,305.3172,NA,44.69894735,NA
DM16046,Garcia Bend,Within Delta,13/04/2016,sein,NA,2016,104,70,2,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,319.1433,NA,46.98937908,NA
DM16047,Garcia Bend,Within Delta,07/04/2016,sein,NA,2016,98,47,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,237.4355,NA,36.13512129,NA
DM16050,Sherwood Harbor,Delta entry,11/05/2016,kdtr,NA,2016,132,75,1,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,433.489,NA,65.93188774,NA
DM16053,Sherwood Harbor,Delta entry,09/05/2016,kdtr,NA,2016,130,87,2,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,459.526,NA,70.24517716,NA
DM16054,Sherwood Harbor,Delta entry,24/02/2016,kdtr,NA,2016,55,34,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,209.982,NA,35.55148734,NA
DM16055,Sherwood Harbor,Delta entry,16/03/2016,kdtr,NA,2016,76,38,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,213.025,NA,35.61617848,NA
DM16058,Sherwood Harbor,Delta entry,27/04/2016,kdtr,NA,2016,118,65,1.5,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,378.711,NA,56.85736426,NA
DM16060,Sherwood Harbor,Delta entry,16/05/2016,kdtr,NA,2016,137,78,2,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,468.317,NA,71.70149422,NA
DM16061,Sherwood Harbor,Delta entry,16/05/2016,kdtr,NA,2016,137,72,2,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,451.072,NA,68.84468752,NA
DM16062,Sherwood Harbor,Delta entry,11/05/2016,kdtr,NA,2016,132,72,2,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,365.524,NA,54.67280584,NA
DM16063,Sherwood Harbor,Delta entry,16/03/2016,kdtr,NA,2016,76,39,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,193.751,NA,35.20643251,NA
DM16069,Sherwood Harbor,Delta entry,08/02/2016,kdtr,NA,2016,39,34,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,223.169,NA,35.83182977,NA
DM16071,Sherwood Harbor,Delta entry,02/05/2016,kdtr,NA,2016,123,84,1.833333333,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,414.219,NA,62.73961954,NA
DM16074,Garcia Bend,Within Delta,15/03/2016,sein,NA,2016,75,39,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,231.623,NA,36.01155336,NA
DM16076,Sherwood Harbor,Delta entry,24/02/2016,kdtr,NA,2016,55,36,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,205.248,NA,35.45084723,NA
DM16077,Sherwood Harbor,Delta entry,24/02/2016,kdtr,NA,2016,55,36,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,250.462,NA,36.41205166,NA
DM16078,Steamboat Slough,Within Delta,03/03/2016,sein,NA,2016,63,36,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,239.2463,NA,36.17361709,NA
DM16079,Sherwood Harbor,Delta entry,14/03/2016,kdtr,NA,2016,74,38,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,220.802,NA,35.78150972,NA
DM16084,Clarksburg,Within Delta,03/03/2016,sein,NA,2016,63,47,1.333333333,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,237.6631,NA,36.13995984,NA
DM16087,Sherwood Harbor,Delta entry,24/02/2016,kdtr,NA,2016,55,38,1.833333333,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,262.055,NA,37.5321313,NA
DM16088,Steamboat Slough,Within Delta,03/03/2016,sein,NA,2016,63,38,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,191.569,NA,35.16004537,NA
DM16089,Sherwood Harbor,Delta entry,24/02/2016,kdtr,NA,2016,55,34,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,187.665,NA,35.07705024,NA
DM16091,Koket,Within Delta,15/03/2016,sein,NA,2016,75,38,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,217.228,NA,35.70553005,NA
DM16095,Antioch Dunes,Within Delta,01/03/2016,sein,NA,2016,61,54,1.333333333,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,173.4712,NA,34.77530424,NA
DM16096,Antioch Dunes,Within Delta,05/05/2016,sein,NA,2016,126,75,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,245.053,NA,36.29706173,NA
DM16098,Koket,Within Delta,25/04/2016,sein,NA,2016,116,66,2,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,390.884,NA,58.87394344,NA
DM16099,Koket,Within Delta,25/04/2016,sein,NA,2016,116,50,1.333333333,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,349.4171,NA,52.00453679,NA
DM16100,Koket,Within Delta,25/04/2016,sein,NA,2016,116,64,1.333333333,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,366.6193,NA,54.85425324,NA
DM16101,Koket,Within Delta,25/04/2016,sein,NA,2016,116,47,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,300.0908,NA,43.83314193,NA
DM16103,B&W Marina,Within Delta,12/02/2016,sein,NA,2016,43,36,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,209.9188,NA,35.55014377,NA
DM16105,Koket,Within Delta,25/04/2016,sein,NA,2016,116,69,2,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,356.394,NA,53.16033004,NA
DM16107,Koket,Within Delta,25/04/2016,sein,NA,2016,116,55,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,253.1548,NA,36.46929789,NA
DM16110,Wimpy’s,Within Delta,13/04/2016,sein,NA,2016,104,67,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,306.6058,NA,44.91241683,NA
DM16115,Koket,Within Delta,13/04/2016,sein,NA,2016,104,69,1.5,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,241.3104,NA,36.21749779,NA
DM16116,Rio Vista,Within Delta,19/04/2016,sein,NA,2016,110,50,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,186.6283,NA,35.05501103,NA
DM16127,Koket,Within Delta,19/04/2016,sein,NA,2016,110,62,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,241.2905,NA,36.21707474,NA
DM16131,Garcia Bend,Within Delta,29/03/2016,sein,NA,2016,89,39,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,235.5083,NA,36.09415095,NA
DM16133,Sandy Beach,Within Delta,25/03/2016,sein,NA,2016,85,54,1,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,233.41,NA,36.04954319,NA
DM16134,Garcia Bend,Within Delta,15/03/2016,sein,NA,2016,75,30,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,199.817,NA,35.3353896,NA
DM16136,Koket,Within Delta,13/04/2016,sein,NA,2016,104,57,1.666666667,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,200.1463,NA,35.34239019,NA
DM16137,Sandy Beach,Within Delta,25/03/2016,sein,NA,2016,85,41,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,223.507,NA,35.83901531,NA
DM16138,Koket,Within Delta,19/04/2016,sein,NA,2016,110,61,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,236.0353,NA,36.10535444,NA
DM16139,Koket,Within Delta,19/04/2016,sein,NA,2016,110,63,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,216.8255,NA,35.6969733,NA
DM16141,Koket,Within Delta,15/03/2016,sein,NA,2016,75,37,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,211.145,NA,35.57621156,NA
DM16147,Sherwood Harbor,Delta entry,28/03/2016,kdtr,NA,2016,88,67,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,208.605,NA,35.5222137,NA
DM16155,Garcia Bend,Within Delta,07/04/2016,sein,NA,2016,98,57,1.833333333,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,231.6993,NA,36.01317542,NA
DM16156,Garcia Bend,Within Delta,15/03/2016,sein,NA,2016,75,37,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,214.716,NA,35.65212744,NA
DM16164,Sherwood Harbor,Delta entry,12/02/2016,kdtr,NA,2016,43,38,1,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,217.292,NA,35.70689063,NA
DM16190,Sherman Island,Within Delta,04/02/2016,sein,NA,2016,35,38,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,257.2698,NA,36.73941507,NA
DM16191,Sandy Beach,Within Delta,04/02/2016,sein,NA,2016,35,30,1,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,253.283,NA,36.4720233,NA
DM16202,Sandy Beach,Within Delta,25/02/2016,sein,NA,2016,56,36,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,192.585,NA,35.18164452,NA
DM16205,Clarksburg,Within Delta,11/03/2016,sein,NA,2016,71,40,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,242.1162,NA,36.2346283,NA
DM16207,Clarksburg,Within Delta,11/03/2016,sein,NA,2016,71,38,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,194.5826,NA,35.22411149,NA
DM16208,Paradise Beach,Bay,05/04/2016,sein,NA,2016,96,51,2,"(90,210]",AME,2016 (4.2),Juvenile,Late,Intermediate,328.308,NA,48.50760328,NA
DM16209,Clarksburg,Within Delta,11/03/2016,sein,NA,2016,71,42,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,267.1151,NA,38.37038747,NA
DM16211,Garcia Bend,Within Delta,22/03/2016,sein,NA,2016,82,34,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,203.557,NA,35.41489826,NA
DM16213,Garcia Bend,Within Delta,22/03/2016,sein,NA,2016,82,37,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,210.32,NA,35.55867288,NA
DM16214,Garcia Bend,Within Delta,22/03/2016,sein,NA,2016,82,39,1,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,252.492,NA,36.45520743,NA
DM16215,Clarksburg,Within Delta,11/03/2016,sein,NA,2016,71,40,1.833333333,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,228.8831,NA,35.95330582,NA
DM16218,Steamboat Slough,Within Delta,22/03/2016,sein,NA,2016,82,43,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,222.9483,NA,35.82713791,NA
DM16219,Steamboat Slough,Within Delta,22/03/2016,sein,NA,2016,82,45,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,254.954,NA,36.50754709,NA
DM16220,Steamboat Slough,Within Delta,22/03/2016,sein,NA,2016,82,50,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,227.2309,NA,35.9181817,NA
DM16222,Garcia Bend,Within Delta,22/03/2016,sein,NA,2016,82,38,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,176.729,NA,34.84456181,NA
DM16223,Steamboat Slough,Within Delta,22/03/2016,sein,NA,2016,82,47,1,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,226.7976,NA,35.90897018,NA
DM16224,Garcia Bend,Within Delta,29/03/2016,sein,NA,2016,89,36,2,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,222.831,NA,35.82464423,NA
DM16228,Steamboat Slough,Within Delta,22/03/2016,sein,NA,2016,82,40,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,211.3845,NA,35.58130309,NA
DM16229,B&W Marina,Within Delta,04/02/2016,sein,NA,2016,35,32,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,184.523,NA,35.01025446,NA
DM16263,Clarksburg,Within Delta,11/03/2016,sein,NA,2016,71,34,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,226.341,NA,35.89926332,NA
DM16286,Chipps Island,Delta Exit,27/04/2016,mwtr,NA,2016,118,81,1.5,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,189.6713,NA,35.11970217,81
DM16298,Garcia Bend,Within Delta,13/04/2016,sein,NA,2016,104,73,1.5,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,228.7636,NA,35.95076537,NA
DM16300,Garcia Bend,Within Delta,19/04/2016,sein,NA,2016,110,65,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,218.4404,NA,35.73130446,NA
DM16301,Garcia Bend,Within Delta,18/02/2016,sein,NA,2016,49,36,1.666666667,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,196.9923,NA,35.27533931,NA
DM16302,Garcia Bend,Within Delta,19/04/2016,sein,NA,2016,110,71,1.666666667,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,232.795,NA,36.03646891,NA
DM16304,Garcia Bend,Within Delta,13/04/2016,sein,NA,2016,104,58,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,312.062,NA,45.81629092,NA
DM16305,Garcia Bend,Within Delta,19/04/2016,sein,NA,2016,110,60,2,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,260.4177,NA,37.26089618,NA
DM16306,Garcia Bend,Within Delta,19/04/2016,sein,NA,2016,110,65,1.666666667,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,289.5661,NA,42.08962013,NA
DM16307,Clarksburg,Within Delta,25/02/2016,sein,NA,2016,56,40,1.666666667,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,233.2,NA,36.0450788,NA
DM16308,Garcia Bend,Within Delta,25/02/2016,sein,NA,2016,56,44,1.333333333,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,273.477,NA,39.42429982,NA
DM16314,Clarksburg,Within Delta,25/02/2016,sein,NA,2016,56,42,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,243.692,NA,36.26812823,NA
DM16315,Garcia Bend,Within Delta,25/02/2016,sein,NA,2016,56,36,1.5,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,174.897,NA,34.80561532,NA
DM16319,Garcia Bend,Within Delta,18/02/2016,sein,NA,2016,49,35,1.75,"(-30,90]",AME,2016 (4.2),Juvenile,Early,Intermediate,197.662,NA,35.28957646,NA
DM16328,Rio Vista,Within Delta,06/04/2016,sein,NA,2016,97,35,1.75,"(90,210]",AME,2016 (4.2),Juvenile,Early,Intermediate,218.985,NA,35.74288212,NA
